exp_id,features,model,cv_mean,cv_std,cv_folds,lb_score,notes
3,All_v1,xgboost,3.444632,2.758651,"[np.float64(7.298564), np.float64(2.042678), np.float64(0.992654)]",,"params={'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 42, 'n_jobs': -1, 'verbosity': 0}"
1,All_v1,lightgbm,1.812324,1.180738,"[np.float64(3.381787), np.float64(1.521359), np.float64(0.533828)]",,"params={'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'n_estimators': 10000, 'learning_rate': 0.01, 'max_depth': 8, 'num_leaves': 63, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'min_child_samples': 20, 'random_state': 42, 'verbose': -1, 'n_jobs': -1}"
2,All_v1,catboost,0.984635,0.384041,"[np.float64(0.965103), np.float64(1.464448), np.float64(0.524353)]",,"params={'iterations': 2000, 'learning_rate': 0.05, 'depth': 8, 'l2_leaf_reg': 3.0, 'random_seed': 42, 'verbose': 100, 'loss_function': 'RMSE', 'eval_metric': 'RMSE', 'early_stopping_rounds': 100}"
3,All_v1,xgboost,2.495005,1.777962,"[np.float64(4.942651), np.float64(1.769672), np.float64(0.772693)]",,"params={'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 42, 'n_jobs': -1, 'verbosity': 0}"
1,All_v1,lightgbm,1.812324,1.180738,"[np.float64(3.381787), np.float64(1.521359), np.float64(0.533828)]",,"params={'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'n_estimators': 10000, 'learning_rate': 0.01, 'max_depth': 8, 'num_leaves': 63, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'min_child_samples': 20, 'random_state': 42, 'verbose': -1, 'n_jobs': -1}"
2,All_v1,catboost,0.984635,0.384041,"[np.float64(0.965103), np.float64(1.464448), np.float64(0.524353)]",,"params={'iterations': 2000, 'learning_rate': 0.05, 'depth': 8, 'l2_leaf_reg': 3.0, 'random_seed': 42, 'verbose': 100, 'loss_function': 'RMSE', 'eval_metric': 'RMSE', 'early_stopping_rounds': 100}"
3,All_v1,xgboost,2.495005,1.777962,"[np.float64(4.942651), np.float64(1.769672), np.float64(0.772693)]",,"params={'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 42, 'n_jobs': -1, 'verbosity': 0}"
1,All_v1,lightgbm,1.812324,1.180738,"[np.float64(3.381787), np.float64(1.521359), np.float64(0.533828)]",,"params={'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'n_estimators': 10000, 'learning_rate': 0.01, 'max_depth': 8, 'num_leaves': 63, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'min_child_samples': 20, 'random_state': 42, 'verbose': -1, 'n_jobs': -1}"
2,All_v1,catboost,0.984635,0.384041,"[np.float64(0.965103), np.float64(1.464448), np.float64(0.524353)]",,"params={'iterations': 2000, 'learning_rate': 0.05, 'depth': 8, 'l2_leaf_reg': 3.0, 'random_seed': 42, 'verbose': 100, 'loss_function': 'RMSE', 'eval_metric': 'RMSE', 'early_stopping_rounds': 100}"
3,All_v1,xgboost,2.495005,1.777962,"[np.float64(4.942651), np.float64(1.769672), np.float64(0.772693)]",,"params={'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 42, 'n_jobs': -1, 'verbosity': 0}"
1,All_v1,lightgbm,1.812324,1.180738,"[np.float64(3.381787), np.float64(1.521359), np.float64(0.533828)]",,"params={'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'n_estimators': 10000, 'learning_rate': 0.01, 'max_depth': 8, 'num_leaves': 63, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'min_child_samples': 20, 'random_state': 42, 'verbose': -1, 'n_jobs': -1}"
2,All_v1,catboost,0.984635,0.384041,"[np.float64(0.965103), np.float64(1.464448), np.float64(0.524353)]",,"params={'iterations': 2000, 'learning_rate': 0.05, 'depth': 8, 'l2_leaf_reg': 3.0, 'random_seed': 42, 'verbose': 100, 'loss_function': 'RMSE', 'eval_metric': 'RMSE', 'early_stopping_rounds': 100}"
003,All_v1,xgboost,2.495005,1.777962,"[np.float64(4.942651), np.float64(1.769672), np.float64(0.772693)]",,"params={'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 42, 'n_jobs': -1, 'verbosity': 0}"
